,word,pinyin,definition
1322,标准,biāo zhǔn,standard; norm; criterion/(adjective) standard/good; correct; conforming to a standard
1324,并且,bìng qiě,and; besides; moreover; furthermore; in addition
1325,播出,bō chū,to broadcast/to air (a TV program etc)
1326,播放,bō fàng,to broadcast; to transmit (by radio or TV)
1330,不安,bù ān,unpeaceful/unstable/uneasy/disturbed/restless/worried
1331,不必,bù bì,need not/does not have to/not necessarily
1332,补充,bǔ chōng,to replenish/to supplement/to complement/additional/supplementary/CL:個|个[ge4]
1334,不断,bù duàn,unceasing/uninterrupted/continuous/constant
1335,不光,bù guāng,not the only one/not only
1336,不仅,bù jǐn,"not just; not limited to/(as a correlative conjunction) not only (..., but also ...)"
1337,不论,bù lùn,"whatever/no matter what (who, how etc)/regardless of/not to discuss"
1339,部门,bù mén,department/branch/section/division/CL:個|个[ge4]
1340,部长,bù zhǎng,"head of a (government etc) department/section chief/section head/secretary/minister/CL:個|个[ge4],位[wei4],名[ming2]"
1341,才能,cái néng,talent/ability/capacity
1342,采取,cǎi qǔ,"to adopt or carry out (measures, policies, course of action)/to take"
1343,彩色,cǎi sè,color/multicolored/CL:種|种[zhong3]
1344,采用,cǎi yòng,to adopt/to employ/to use
1345,曾经,céng jīng,once/already/former/previously/ever/(past tense marker used before verb or clause)
1346,产生,chǎn shēng,to arise; to come into being; to come about/to give rise to; to bring into being; to bring about; to produce; to engender; to generate
1347,长城,cháng chéng,the Great Wall
1348,长处,cháng chù,good aspects/strong points
1350,场合,chǎng hé,situation/occasion/context/setting/location/venue
1351,长期,cháng qī,long term/long time/long range (of a forecast)
1352,场所,chǎng suǒ,location/place
1353,超级,chāo jí,super-/ultra-/hyper-
1355,吵架,chǎo jià,to quarrel/to have a row/quarrel/CL:頓|顿[dun4]
1357,衬衫,chèn shān,shirt/blouse/CL:件[jian4]
1358,衬衣,chèn yī,shirt/CL:件[jian4]
1360,程度,chéng dù,degree; level; extent
1361,成功,chéng gōng,"success/to succeed/CL:次[ci4],個|个[ge4]"
1362,成果,chéng guǒ,result/achievement/gain/profit/CL:個|个[ge4]
1363,成就,chéng jiù,accomplishment/success/achievement/CL:個|个[ge4]/to achieve (a result)/to create/to bring about
1364,成立,chéng lì,to establish/to set up/to be tenable/to hold water
1365,城市,chéng shì,city; town/CL:座[zuo4]
1366,成熟,chéng shú,mature; ripe/to mature; to ripen/Taiwan pr. [cheng2 shou2]
1367,称为,chēng wéi,"to be called; to be known as; to call it ""..."""
1368,成员,chéng yuán,member
1369,成长,chéng zhǎng,to mature/to grow/growth
1370,持续,chí xù,to continue/to persist/to last/sustainable/preservation
1371,充满,chōng mǎn,full of/brimming with/very full/permeated
1374,初步,chū bù,initial/preliminary/tentative
1375,初级,chū jí,junior/primary
1376,除了,chú le,besides/apart from (... also...)/in addition to/except (for)
1377,处理,chǔ lǐ,to handle; to deal with/to punish/to treat sth by a special process; to process/to sell at reduced prices
1378,初中,chū zhōng,junior high school (abbr. for 初級中學|初级中学[chu1 ji2 zhong1 xue2])
1379,传播,chuán bō,to disseminate; to propagate; to spread
1380,传说,chuán shuō,legend; folk tale/to repeat from mouth to mouth; they say that...
1382,传来,chuán lái,(of a sound) to come through/to be heard/(of news) to arrive
1383,创新,chuàng xīn,to bring forth new ideas; to blaze new trails/innovation
1384,创业,chuàng yè,to begin an undertaking; to start an enterprise/entrepreneurship
1385,创造,chuàng zào,to create/to bring about/to produce/to set (a record)
1386,创作,chuàng zuò,to create; to produce; to write/a creative work; a creation
1387,从来,cóng lái,always/at all times/never (if used in negative sentence)
1388,从前,cóng qián,previously/formerly/once upon a time
1389,从事,cóng shì,to go for/to engage in/to undertake/to deal with/to handle/to do
1392,存在,cún zài,to exist/to be/existence
1393,错误,cuò wù,mistaken; false; wrong/error; mistake/CL:個|个[ge4]
1394,大概,dà gài,roughly/probably/rough/approximate/about/general idea
1395,打破,dǎ pò,to break; to smash
1397,达到,dá dào,to reach; to achieve; to attain
1398,打听,dǎ tīng,to ask about/to make some inquiries/to ask around
1399,大约,dà yuē,approximately/probably
1401,代表,dài biǎo,"representative/delegate/CL:位[wei4],個|个[ge4],名[ming2]/to represent/to stand for/on behalf of/in the name of"
1403,带动,dài dòng,to spur; to provide impetus; to drive
1404,大夫,dài fū,doctor/physician
1405,带领,dài lǐng,to guide/to lead
1406,单元,dān yuán,unit (forming an entity)/element/(in a residential building) entrance or staircase
1407,当初,dāng chū,at that time/originally
1408,当地,dāng dì,local
1409,当然,dāng rán,only natural/as it should be/certainly/of course/without doubt
1410,当中,dāng zhōng,among/in the middle/in the center
1411,到达,dào dá,to reach; to arrive
1412,到底,dào dǐ,finally/in the end/when all is said and done/after all/to the end/to the last
1414,导演,dǎo yǎn,to direct/director (film etc)
1415,得分,dé fēn,to score
1416,等待,děng dài,to wait; to wait for
1417,地区,dì qū,"local/regional/district (not necessarily formal administrative unit)/region/area/as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)/CL:個|个[ge4]"
1418,底下,dǐ xià,the location below sth/afterwards
1421,电台,diàn tái,"transmitter-receiver/broadcasting station/radio station/CL:個|个[ge4],家[jia1]"
1423,调查,diào chá,"investigation/inquiry/to investigate/to survey/survey/(opinion) poll/CL:項|项[xiang4],個|个[ge4]"
1427,定期,dìng qī,at set dates/at regular intervals/periodic/limited to a fixed period of time/fixed term
1428,东部,dōng bù,the east/eastern part
1429,动力,dòng lì,motive power/force/(fig.) motivation/impetus
1430,动人,dòng rén,touching/moving
1431,读者,dú zhě,reader
1433,短处,duǎn chù,shortcoming/defect/fault/one's weak points
1434,短裤,duǎn kù,short pants/shorts
1435,短期,duǎn qī,short term/short-term
1436,对待,duì dài,to treat/treatment
1437,对方,duì fāng,the other person; the other side; the other party
1438,对手,duì shǒu,opponent/rival/competitor/(well-matched) adversary/match
1439,对象,duì xiàng,target; object/partner; boyfriend; girlfriend/CL:個|个[ge4]
1440,队员,duì yuán,team member
1442,发表,fā biǎo,to issue/to publish
1443,发出,fā chū,"to issue (an order, decree etc); to send out; to dispatch/to produce (a sound); to let out (a laugh)"
1444,发达,fā dá,well-developed; flourishing/to develop; to promote; to expand/(literary) to achieve fame and fortune; to prosper
1445,发动,fā dòng,to start/to launch/to unleash/to mobilize/to arouse
1446,发明,fā míng,to invent/an invention/CL:個|个[ge4]
1447,发生,fā shēng,to happen; to occur; to take place; to break out
1448,发送,fā sòng,to transmit/to dispatch/to issue (an official document or credential)
1449,发言,fā yán,to make a speech/statement/utterance/CL:個|个[ge4]
1450,发展,fā zhǎn,development/growth/to develop/to grow/to expand
1451,反对,fǎn duì,to oppose; to be against; to object to
1452,反复,fǎn fù,repeatedly/over and over/to upend/unstable/to come and go/(of an illness) to return
1453,范围,fàn wéi,range/scope/limit/extent/CL:個|个[ge4]
1454,反应,fǎn yìng,to react/to respond/reaction/response/reply/chemical reaction/CL:個|个[ge4]
1455,反正,fǎn zhèng,anyway/in any case/to come over from the enemy's side
1457,放到,fàng dào,put to
1458,方式,fāng shì,way; manner; style; mode; pattern/CL:個|个[ge4]
1459,房东,fáng dōng,landlord
1460,房屋,fáng wū,"house/building/CL:所[suo3],套[tao4]"
1461,房租,fáng zū,rent for a room or house
1462,访问,fǎng wèn,to visit/to call on/to interview/CL:次[ci4]
1463,防止,fáng zhǐ,to prevent/to guard against/to take precautions
1465,飞行,fēi xíng,(of planes etc) to fly/flying/flight/aviation
1466,费用,fèi yòng,"cost/expenditure/expense/CL:筆|笔[bi3],個|个[ge4]"
1467,分别,fēn bié,to part; to leave each other/to distinguish; to tell apart/difference; distinction/in different ways; differently/separately; individually
1468,分配,fēn pèi,to distribute/to assign/to allocate/to partition (a hard drive)
1469,分组,fēn zǔ,to divide into groups/group (formed from a larger group)/subgroup/(computer networking) packet
1470,丰富,fēng fù,to enrich/rich/plentiful/abundant
1471,风险,fēng xiǎn,risk; hazard
1472,否定,fǒu dìng,to negate/to deny/to reject/negative (answer)/negation
1473,否认,fǒu rèn,to declare to be untrue/to deny
1477,父母,fù mǔ,father and mother; parents
1478,父亲,fù qīn,father/also pr. [fu4 qin5]/CL:個|个[ge4]
1479,复印,fù yìn,to photocopy/to duplicate a document
1480,复杂,fù zá,complicated; complex
1481,负责,fù zé,to be responsible for; to be in charge of; to bear responsibility for/conscientious
1482,服装,fú zhuāng,dress/clothing/costume/clothes/CL:身[shen1]
1483,概念,gài niàn,concept/idea/CL:個|个[ge4]
1484,改进,gǎi jìn,to improve; to make better/improvement/CL:個|个[ge4]
1485,改造,gǎi zào,to transform/to reform/to remodel/to remold
1487,感情,gǎn qíng,"emotion/sentiment/affection/feelings between two persons/CL:個|个[ge4],種|种[zhong3]"
1488,感受,gǎn shòu,to sense/perception/to feel (through the senses)/to experience/a feeling/an impression/an experience
1489,干吗,gàn má,see 幹嘛|干嘛[gan4 ma2]
1490,感冒,gǎn mào,"to catch cold/(common) cold/CL:場|场[chang2],次[ci4]/(coll.) to be interested in (often used in the negative)/(Tw) to detest/can't stand"
1492,赶到,gǎn dào,to hurry (to some place)
1493,赶紧,gǎn jǐn,hurriedly/without delay
1494,赶快,gǎn kuài,quickly; at once
1495,告别,gào bié,to leave; to part from/to bid farewell to; to say goodbye to
1496,高速,gāo sù,high speed/expressway (abbr. for 高速公路[gao1 su4 gong1 lu4])
1499,各地,gè dì,in all parts of (a country)/various regions
1500,歌迷,gē mí,fan of a singer
1501,个人,gè rén,individual/personal/oneself
1502,歌声,gē shēng,singing voice/fig. original voice of a poet
1503,歌手,gē shǒu,singer
1504,各位,gè wèi,"everybody/all (guests, colleagues etc)/all of you"
1505,个性,gè xìng,individuality/personality
1506,各种,gè zhǒng,every kind of; all kinds of; various
1507,各自,gè zì,each/respective/apiece
1508,根本,gēn běn,fundamental/basic/root/simply/absolutely (not)/(not) at all/CL:個|个[ge4]
1509,更加,gèng jiā,more (than sth else)/even more
1510,公布,gōng bù,to announce; to make public; to publish
1511,工厂,gōng chǎng,"factory/CL:家[jia1],座[zuo4]"
1513,功夫,gōng fū,skill/art/kung fu/labor/effort
1514,工夫,gōng fū,"period of time (may be months, or mere seconds)/spare time/skill/labor/effort"
1515,公共,gōng gòng,public; common; communal
1516,工具,gōng jù,tool/instrument/utensil/means (to achieve a goal etc)
1517,公开,gōng kāi,open; overt; public/to make public; to release
1518,功课,gōng kè,homework/assignment/task/classwork/lesson/study/CL:門|门[men2]
1519,公民,gōng mín,citizen
1520,功能,gōng néng,function; capability
1521,共同,gòng tóng,common/joint/jointly/together/collaborative
1523,工业,gōng yè,industry
1524,共有,gòng yǒu,to have altogether/in all
1525,工资,gōng zī,"wages; pay/CL:個|个[ge4],份[fen4]"
1527,古代,gǔ dài,ancient times
1528,姑娘,gū niáng,girl/young woman/young lady/daughter/paternal aunt (old)/CL:個|个[ge4]
1529,故乡,gù xiāng,home/homeland/native place/CL:個|个[ge4]
1532,观察,guān chá,to observe; to watch; to survey
1533,观看,guān kàn,to watch; to view
1534,管理,guǎn lǐ,to supervise/to manage/to administer/management/administration/CL:個|个[ge4]
1535,观念,guān niàn,notion/thought/concept/sense/views/ideology/general impressions
1536,关系,guān xì,variant of 關係|关系[guan1 xi5]
1537,观众,guān zhòng,spectators/audience/visitors (to an exhibition etc)
1538,关注,guān zhù,to pay attention to; to follow sth closely; to follow (on social media)/concern; interest; attention
1539,广播,guǎng bō,broadcast/CL:個|个[ge4]/broadcasting/to broadcast/(formal) to propagate/to publicize
1540,广大,guǎng dà,(of an area) vast or extensive/large-scale/widespread/(of people) numerous
1542,光明,guāng míng,light/radiance/(fig.) bright (prospects etc)/openhearted
1543,规定,guī dìng,to stipulate; to specify; to prescribe; to fix (a price); to set (a quota)/regulations; rules; provisions; stipulations
1544,规范,guī fàn,norm/standard/specification/regulation/rule/within the rules/to fix rules/to regulate/to specify
1545,过程,guò chéng,course of events/process/CL:個|个[ge4]
1546,果然,guǒ rán,really/sure enough/as expected/if indeed
1547,果汁,guǒ zhī,fruit juice
1548,国内,guó nèi,domestic/internal (to a country)/civil
1549,国庆,guó qìng,National Day
1550,过去,guò qù,(verb suffix)
1551,哈哈,hā hā,(onom.) laughing out loud
1552,海关,hǎi guān,customs (i.e. border crossing inspection)/CL:個|个[ge4]
1553,害怕,hài pà,to be afraid; to be scared
1554,好好,hǎo hǎo,well/carefully/nicely/properly
1555,好奇,hào qí,inquisitive/curious/inquisitiveness/curiosity
1556,合法,hé fǎ,lawful/legitimate/legal
1557,合格,hé gé,to meet the standard required/qualified/eligible (voter etc)
1559,合理,hé lǐ,rational; reasonable; sensible; fair
1560,和平,hé píng,peace/peaceful
1561,合作,hé zuò,to cooperate; to collaborate; to work together
1562,红茶,hóng chá,"black tea/CL:杯[bei1],壺|壶[hu2]"
1563,红酒,hóng jiǔ,red wine
1564,后果,hòu guǒ,consequences/aftermath
1565,后面,hòu miàn,the back; the rear; the last bit/behind; near the end; at the back/later; afterwards
1566,后年,hòu nián,the year after next
1568,互相,hù xiāng,each other/mutually/mutual
1569,划船,huá chuán,to row a boat/rowing boat/rowing (sport)
1571,话剧,huà jù,"stage play/modern drama/CL:臺|台[tai2],部[bu4]"
1572,华人,huá rén,ethnic Chinese person or people
1573,话题,huà tí,subject (of a talk or conversation)/topic
1575,环保,huán bǎo,environmental protection/environmentally friendly/abbr. for 環境保護|环境保护[huan2 jing4 bao3 hu4]
1576,环境,huán jìng,environment/circumstances/surroundings/CL:個|个[ge4]/ambient
1577,欢乐,huān lè,gaiety/gladness/glee/merriment/pleasure/happy/joyous/gay
1578,会议,huì yì,"meeting/conference/CL:場|场[chang3],屆|届[jie4]"
1579,会员,huì yuán,member
1582,基本,jī běn,basic/fundamental/main/elementary
1584,基础,jī chǔ,base; foundation; basis/basic; fundamental
1585,极了,jí le,extremely/exceedingly
1586,记录,jì lù,to record/record (written account)/note-taker/record (in sports etc)/CL:個|个[ge4]
1587,纪录,jì lù,"variant of 記錄|记录[ji4 lu4] (but in Taiwan, not for the verb sense ""to record"")"
1588,纪念,jì niàn,to commemorate; to honor the memory of/memento; keepsake; souvenir
1589,及时,jí shí,timely; at the right time/promptly; without delay
1590,技术,jì shù,"technology; technique; skill/CL:門|门[men2],種|种[zhong3],項|项[xiang4]"
1591,计算,jì suàn,to count/to calculate/to compute/CL:個|个[ge4]
1592,集体,jí tǐ,collective (decision)/joint (effort)/a group/a team/en masse/as a group
1593,机器,jī qì,"machine/CL:臺|台[tai2],部[bu4],個|个[ge4]"
1594,继续,jì xù,to continue/to proceed with/to go on with
1595,记者,jì zhě,reporter; journalist/CL:個|个[ge4]
1596,积极,jī jí,active/energetic/vigorous/positive (outlook)/proactive
1597,集中,jí zhōng,to concentrate/to centralize/to focus/centralized/concentrated/to put together
1599,价格,jià gé,price/CL:個|个[ge4]
1600,加工,jiā gōng,to process/processing/working (of machinery)
1601,家具,jiā jù,"furniture/CL:件[jian4],套[tao4]"
1602,加快,jiā kuài,to accelerate/to speed up
1603,价钱,jià qián,price
1604,加强,jiā qiáng,to reinforce; to strengthen; to enhance
1605,家属,jiā shǔ,family member/(family) dependent
1606,家乡,jiā xiāng,hometown/native place/CL:個|个[ge4]
1607,价值,jià zhí,"value/worth/fig. values (ethical, cultural etc)/CL:個|个[ge4]"
1609,建成,jiàn chéng,to establish/to build
1610,坚持,jiān chí,to persevere with/to persist in/to insist on
1611,简单,jiǎn dān,simple/not complicated
1612,坚决,jiān jué,firm; resolute; determined
1613,建立,jiàn lì,to establish/to set up/to found
1614,坚强,jiān qiáng,staunch/strong
1615,建设,jiàn shè,to build; to construct; to establish; to develop; to institute
1616,建议,jiàn yì,"to propose; to suggest; to recommend/proposal; suggestion; recommendation/CL:個|个[ge4],點|点[dian3]"
1617,简直,jiǎn zhí,simply; really
1618,将近,jiāng jìn,almost/nearly/close to
1619,将来,jiāng lái,in the future/future/the future/CL:個|个[ge4]
1622,交费,jiāo fèi,to pay a fee
1623,教材,jiào cái,teaching material/CL:本[ben3]
1624,教练,jiào liàn,"instructor/sports coach/trainer/CL:個|个[ge4],位[wei4],名[ming2]"
1625,交警,jiāo jǐng,traffic police (abbr. for 交通警察[jiao1 tong1 jing3 cha2])
1626,交流,jiāo liú,to exchange/exchange/communication/interaction/to have social contact (with sb)
1627,交往,jiāo wǎng,to associate (with)/to have contact (with)/to hang out (with)/to date/(interpersonal) relationship/association/contact
1628,交易,jiāo yì,to deal; to trade; to transact/transaction; deal/CL:筆|笔[bi3]
1629,结合,jié hé,to combine/to link/to integrate/binding/CL:次[ci4]
1630,结婚,jié hūn,to marry/to get married/CL:次[ci4]
1631,解决,jiě jué,"to solve; to resolve; to settle (a problem)/to eliminate; to wipe out (an enemy, bandits etc)"
1632,解开,jiě kāi,to untie/to undo/to solve (a mystery)
1633,结实,jiē shí,rugged/sturdy/strong/durable/buff (physique)
1634,结束,jié shù,termination/to finish/to end/to conclude/to close
1635,接待,jiē dài,"to receive; to entertain; to host (guests, visitors or clients)"
1636,接近,jiē jìn,to approach; to get close to
1637,节约,jié yuē,to economize/to conserve (resources)/economy/frugal
1639,进步,jìn bù,progress; improvement/to improve; to progress/CL:個|个[ge4]
1641,紧急,jǐn jí,urgent/emergency
1642,仅仅,jǐn jǐn,barely/only/merely/only (this and nothing more)
1644,金牌,jīn pái,gold medal/CL:枚[mei2]
1645,尽量,jǐn liàng,as much as possible/to the greatest extent
1646,近期,jìn qī,near in time/in the near future/very soon/recent
1648,进展,jìn zhǎn,to make headway; to make progress
1649,紧张,jǐn zhāng,nervous/keyed up/intense/tense/strained/in short supply/scarce/CL:陣|阵[zhen4]
1651,警察,jǐng chá,police; police officer/CL:個|个[ge4]
1652,经济,jīng jì,economy/economic
1653,经历,jīng lì,"experience/CL:個|个[ge4],次[ci4]/to experience/to go through"
1654,经验,jīng yàn,experience/to experience
1655,经营,jīng yíng,to engage in (business etc); to run; to operate
1656,京剧,jīng jù,"Beijing opera/CL:場|场[chang3],齣|出[chu1]"
1657,精彩,jīng cǎi,wonderful/marvelous/brilliant
1658,精神,jīng shén,vigor/vitality/drive/spiritual
1659,精神,jīng shén,vigor/vitality/drive/spiritual
1660,景色,jǐng sè,scenery/scene/landscape/view
1664,就是,jiù shì,exactly; precisely/only; simply; just/(used correlatively with 也[ye3]) even; even if
1665,就业,jiù yè,to get a job/employment
1666,举办,jǔ bàn,to conduct/to hold
1667,剧场,jù chǎng,theater/CL:個|个[ge4]
1668,据说,jù shuō,it is said that; reportedly
1669,具体,jù tǐ,concrete; specific; detailed
1670,具有,jù yǒu,to have; to possess
1671,决定,jué dìng,"to decide (to do something)/to resolve/decision/CL:個|个[ge4],項|项[xiang4]/certainly"
1672,绝对,jué duì,absolute/unconditional
1673,决赛,jué sài,finals (of a competition)
1674,决心,jué xīn,determination/resolution/determined/firm and resolute/to make up one's mind/CL:個|个[ge4]
1675,咖啡,kā fēi,coffee (loanword)/CL:杯[bei1]
1676,开发,kāi fā,to exploit (a resource); to open up (for development); to develop
1677,开放,kāi fàng,to bloom/to open/to be open (to the public)/to open up (to the outside)/to be open-minded/unrestrained by convention/unconstrained in one's sexuality
1678,开始,kāi shǐ,to begin/beginning/to start/initial/CL:個|个[ge4]
1679,开业,kāi yè,to open a business/to open a practice/open (for business)
1680,开展,kāi zhǎn,to launch/to develop/to unfold/(of an exhibition etc) to open
1683,考验,kǎo yàn,to test/to put to the test/trial/ordeal
1684,课程,kè chéng,"course/academic program/CL:堂[tang2],節|节[jie2],門|门[men2]"
1685,克服,kè fú,(try to) overcome (hardships etc)/to conquer/to put up with/to endure
1686,客观,kè guān,objective/impartial
1687,可靠,kě kào,reliable
1688,科技,kē jì,science and technology
1689,可乐,kě lè,amusing/entertaining/(loanword) cola
1690,空儿,kòng ér,spare time/free time
1692,恐怕,kǒng pà,fear/to dread/I'm afraid that.../perhaps/maybe
1693,空调,kōng tiáo,air conditioning/air conditioner (including units that have a heating mode)/CL:臺|台[tai2]
1694,裤子,kù zi,trousers/pants/CL:條|条[tiao2]
1695,快速,kuài sù,fast; high-speed; rapid
1697,困难,kùn nán,difficult/challenging/straitened circumstances/difficult situation
1698,浪费,làng fèi,to waste/to squander
1700,老板,lǎo bǎn,boss/business proprietor/CL:個|个[ge4]
1703,乐观,lè guān,optimistic; hopeful
1707,类似,lèi sì,similar; analogous
1709,离婚,lí hūn,to divorce
1710,理发,lǐ fà,to get a haircut; to have one's hair done/to cut (sb's) hair; to give (sb) a haircut
1711,理解,lǐ jiě,to comprehend; to understand
1712,里面,lǐ miàn,inside/interior/also pr. [li3 mian5]
1713,力量,lì liàng,power/force/strength
1714,理论,lǐ lùn,theory/CL:個|个[ge4]/to argue/to take notice of
1715,立刻,lì kè,forthwith/immediate/prompt/promptly/straightway/thereupon/at once
1716,利用,lì yòng,to exploit/to make use of/to use/to take advantage of/to utilize
1717,理由,lǐ yóu,reason/grounds/justification/CL:個|个[ge4]
1719,联合,lián hé,to combine/to join/unite/alliance
1721,连忙,lián máng,promptly/at once
1722,联系,lián xì,connection/contact/relation/to get in touch with/to integrate/to link/to touch
1723,连续,lián xù,continuous/in a row/serial/consecutive
1725,凉水,liáng shuǐ,cool water/unboiled water
1727,领导,lǐng dǎo,"lead/leading/to lead/leadership/leader/CL:位[wei4],個|个[ge4]"
1728,另外,lìng wài,additional/in addition/besides/separate/other/moreover/furthermore
1729,领先,lǐng xiān,to lead/to be in front
1731,留学,liú xué,to study abroad
1734,旅馆,lǚ guǎn,hotel/CL:家[jia1]
1735,绿茶,lǜ chá,green tea/(slang) (of a girl) seemingly innocent and charming but actually calculating and manipulative/a girl who has these qualities
1736,路线,lù xiàn,itinerary/route/political line (e.g. right revisionist road)/CL:條|条[tiao2]
1738,录音,lù yīn,to record (sound)/sound recording/CL:個|个[ge4]
1740,落后,luò hòu,to fall behind/to lag (in technology etc)/backward/to retrogress
1742,麻烦,má fán,trouble; inconvenience/inconvenient; troublesome; annoying/to bother sb; to put sb to trouble
1743,慢慢,màn màn,slowly
1744,满足,mǎn zú,to satisfy/to meet (the needs of)/satisfied/content
1746,毛病,máo bìng,fault/defect/shortcomings/ailment/CL:個|个[ge4]
1749,美好,měi hǎo,beautiful/fine
1750,美丽,měi lì,beautiful
1751,美食,měi shí,culinary delicacy/fine food/gourmet food
1752,美术,měi shù,art/fine arts/painting/CL:種|种[zhong3]
1753,媒体,méi tǐ,"media, esp. news media"
1754,没用,méi yòng,useless
1755,美元,měi yuán,American dollar/US dollar
1758,面对,miàn duì,to face; to confront
1759,面积,miàn jī,"area (of a floor, piece of land etc)/surface area/tract of land"
1760,民间,mín jiān,among the people/popular/folk/non-governmental/involving people rather than governments
1761,民族,mín zú,nationality; ethnic group/CL:個|个[ge4]
1762,明确,míng què,clear-cut; definite; explicit/to clarify; to specify; to make definite
1763,明显,míng xiǎn,clear/distinct/obvious
1764,命运,mìng yùn,fate; destiny/CL:個|个[ge4]
1766,目标,mù biāo,target/goal/objective/CL:個|个[ge4]
1767,目前,mù qián,at the present time/currently
1768,母亲,mǔ qīn,mother/also pr. [mu3 qin5]/CL:個|个[ge4]
1769,木头,mù tou,"slow-witted/blockhead/log (of wood, timber etc)/CL:塊|块[kuai4],根[gen1]"
1770,奶茶,nǎi chá,milk tea
1771,南部,nán bù,southern part
1772,难道,nán dào,don't tell me .../could it be that...?
1773,难度,nán dù,degree of difficulty
1774,男子,nán zi,a man; a male
1776,内容,nèi róng,"content/substance/details/CL:個|个[ge4],項|项[xiang4]"
1777,内心,nèi xīn,heart; innermost being/(math.) incenter
1778,能力,néng lì,capability/ability/CL:個|个[ge4]
1781,年底,nián dǐ,the end of the year/year-end
1782,年纪,nián jì,"age/CL:把[ba3],個|个[ge4]"
1783,年初,nián chū,beginning of the year
1784,年代,nián dài,a decade of a century (e.g. the Sixties)/age/era/period/CL:個|个[ge4]
1786,农村,nóng cūn,rural area/village/CL:個|个[ge4]
1787,农民,nóng mín,peasant/farmer/CL:個|个[ge4]
1788,农业,nóng yè,agriculture/farming
1789,女子,nǚ zǐ,woman/female
1790,暖和,nuǎn huo,warm/nice and warm
1795,排名,pái míng,"to rank (1st, 2nd etc)/ranking"
1796,牌子,pái zi,sign/trademark/brand
1797,判断,pàn duàn,to judge/to determine/judgment
1799,跑步,pǎo bù,to run/to jog/(military) to march at the double
1801,配合,pèi hé,matching/fitting in with/compatible with/to correspond/to fit/to conform to/rapport/to coordinate with/to act in concert with/to cooperate/to become man and wife/to combine parts of machine
1803,皮包,pí bāo,handbag/briefcase
1804,啤酒,pí jiǔ,"beer (loanword)/CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]"
1805,批评,pī píng,"to criticize; criticism/CL:次[ci4],番[fan1]"
1806,批准,pī zhǔn,to approve; to ratify
1807,票价,piào jià,ticket price; fare; admission fee
1808,苹果,píng guǒ,"apple/CL:個|个[ge4],顆|颗[ke1]"
1809,评价,píng jià,to evaluate/to assess
1811,破坏,pò huài,destruction/damage/to wreck/to break/to destroy
1812,普遍,pǔ biàn,universal/general/widespread/common
1813,普及,pǔ jí,to spread extensively/to generalize/widespread/popular/universal/ubiquitous/pervasive
1814,其次,qí cì,next/secondly
1815,奇怪,qí guài,strange/odd/to marvel/to be baffled
1818,气候,qì hòu,(meteorology) climate/(fig.) climate; prevailing conditions (in human affairs)/CL:種|种[zhong3]
1819,其实,qí shí,actually; in fact; really
1820,前后,qián hòu,around/from beginning to end/all around/front and rear
1821,前进,qián jìn,to go forward/to forge ahead/to advance/onward
1822,前面,qián miàn,ahead/in front/preceding/above/also pr. [qian2 mian5]
1823,前往,qián wǎng,to leave for; to proceed towards; to go to
1824,千万,qiān wàn,ten million/countless/many/one must by all means
1825,强大,qiáng dà,large; formidable; powerful; strong
1826,强调,qiáng diào,to emphasize (a statement)/to stress
1828,强烈,qiáng liè,strong; intense
1831,亲切,qīn qiè,amiable/cordial/close and dear/familiar
1833,亲人,qīn rén,one's close relatives
1834,亲自,qīn zì,personally/in person/oneself
1835,情感,qíng gǎn,feeling/emotion/to move (emotionally)
1836,请教,qǐng jiào,to ask for guidance/to consult
1837,情况,qíng kuàng,"circumstances; state of affairs; situation/CL:個|个[ge4],種|种[zhong3]"
1838,庆祝,qìng zhù,to celebrate
1839,球迷,qiú mí,fan (ball sports)/CL:個|个[ge4]
1840,区别,qū bié,difference/to distinguish/to discriminate/to make a distinction/CL:個|个[ge4]
1842,去世,qù shì,to pass away/to die
1843,取消,qǔ xiāo,to cancel/cancellation
1844,全场,quán chǎng,everyone present/the whole audience/across-the-board/unanimously/whole duration (of a competition or match)
1845,全面,quán miàn,all-around/comprehensive/total/overall
1846,全球,quán qiú,the whole world/worldwide; global
1847,确保,què bǎo,to ensure; to guarantee
1848,确定,què dìng,definite/certain/fixed/to fix (on sth)/to determine/to be sure/to ensure/to make certain/to ascertain/to clinch/to recognize/to confirm/OK (on computer dialog box)
1850,缺点,quē diǎn,weak point/fault/shortcoming/disadvantage/CL:個|个[ge4]
1851,缺少,quē shǎo,lack/shortage of/shortfall/to be short (of)/to lack
1852,确实,què shí,indeed/really/reliable/real/true
1854,裙子,qún zi,skirt/CL:條|条[tiao2]
1855,热爱,rè ài,to love ardently/to adore
1856,热烈,rè liè,enthusiastic/ardent/warm
1857,人才,rén cái,talent/talented person/looks/attractive looks
1858,认出,rèn chū,recognition/to recognize
1859,认得,rèn de,to recognize/to remember sth (or sb) on seeing it/to know
1860,人工,rén gōng,artificial/manpower/manual work
1861,任何,rèn hé,any; whatever; whichever
1862,认可,rèn kě,to approve/approval/acknowledgment/OK
1863,人类,rén lèi,humanity/human race/mankind
1864,人民,rén mín,the people/CL:個|个[ge4]
1866,人群,rén qún,crowd
1869,人生,rén shēng,life (one's time on earth)
